_key,username,location,postcount,likes,post,gender,identity,marriage,region,risk_appetite,education,revenue,deposit,debt,intended_products,label
0,,,,,"['+test+\n游客测试回复', '@jerry 睡前喝瓶牛奶，睡觉的时候就不要想太多，越想着睡觉可能就越睡不着，尝试着放松身体，慢慢地进入状态，也许会对你有所帮助', '遇到难以解决的事情，这些事都是暂时的，勇敢面对，就会有属于自己的结果～to bb', 'Sorry 我看不懂中文', '有点意思', '啥叫正常人', '@daryls 游客测试回复']",,,,,,,,,,,
1,DaryLS,克拉格的住所,5,15,"['![6fb7e7f9-b089-4d8b-b32e-281287620528-image.png](/assets/uploads/files/1636891110363-6fb7e7f9-b089-4d8b-b32e-281287620528-image.png) \n\n有无人知道Markdown的emoji在编译过后为啥会出现这种效果，挺影响观感的', '***\n![IMG_20200217_185717.jpg](/assets/uploads/files/1636895147998-img_20200217_185717.jpg) \n***\n![IMG_20200116_185944.jpg](/assets/uploads/files/1636895225493-img_20200116_185944-resized.jpg)\n***\n![IMG_2457.jpg](/assets/uploads/files/1636895308590-img_2457-resized.jpg)\n***\n![IMG_2453.jpg](/assets/uploads/files/1636895308050-img_2453-resized.jpg)\n***\n![IMG_2429.jpg](/assets/uploads/files/1636895307579-img_2429-resized.jpg)\n ***\n![IMG_2115.jpg](/assets/uploads/files/1636895307051-img_2115-resized.jpg)\n ***\n![IMG_2113.jpg](/assets/uploads/files/1636895306663-img_2113-resized.jpg) \n***\n![IMG_2074.jpg](/assets/uploads/files/1636895306123-img_2074-resized.jpg)\n***\n![IMG_2060.jpg](/assets/uploads/files/1636895305549-img_2060-resized.jpg) \n***\n![IMG_2052.jpg](/assets/uploads/files/1636895305054-img_2052-resized.jpg)\n***\n![IMG_2017@0.75x.jpg](/assets/uploads/files/1636895304303-img_2017-0.75x-resized.jpg)\n***\n![IMG_2002.jpg](/assets/uploads/files/1636895303726-img_2002-resized.jpg)\n***\n![IMG_1987.jpg](/assets/uploads/files/1636895303092-img_1987-resized.jpg)', '@jerry 都是老照片了哈哈', '哈哈哈估计我是无了:new_moon_with_face: \n***\n![b31e1bde32702ddc7a3fee6bcef2fd0.jpg](/assets/uploads/files/1638506161547-b31e1bde32702ddc7a3fee6bcef2fd0.jpg)', '#test#\n游客回复测试']",,,,,,,,,,,
2,CCnono,,4,11,"['And I came to the conclusion that what really matters is trying to understand \nthe right questions to ask. By Elon Musk (source: [YouTube](https://www.youtube.com/watch?v=OpjvtwDmjFQ&t=89s))\n不要从要做的事情和要怎么做出发，而是不断地问自己要解决什么问题，为什么要解决这个问题，以及这个要解决的问题具体是什么才是最重要的。路径和执行都是跟随着问题的。\n![980503f5-fe63-4bb0-b8ec-9f9802c80680-image.png](/assets/uploads/files/1637668026056-980503f5-fe63-4bb0-b8ec-9f9802c80680-image.png) \n![934194d8-0d0c-49ab-b6b3-0d4e166fcc35-image.png](/assets/uploads/files/1637668133433-934194d8-0d0c-49ab-b6b3-0d4e166fcc35-image.png)', '人们对于元宇宙的构想十分多元且抽象，这十个问题将抽象的元宇宙具象化，帮助人们更好地理解。\n\n一、什么是元宇宙？\n1)元宇宙概念的提出\n\n元宇宙在很长一段时间内仅存在于文学与影视作品中。元宇宙（Metaverse）由Meta和Verse两个词根组成，Meta表示“超越”“元”，verse表示“宇宙Universe”。Metaverse一词最早来自1992年的科幻小说《雪崩》。小说描绘人们在虚拟现实世界中通过控制自己的数字化身相互竞争以提升社会地位。在其后的接近30年间，元宇宙的概念在《黑客帝国》《头号玩家》《西部世界》等影视作品，《模拟人生》等游戏中有所呈现。在这一阶段，元宇宙的概念比较模糊，更多地被理解为平行的虚拟世界。\n\n\n\n2）元宇宙八大要素\n\n根据元宇宙概念上市公司Roblox的定义，元宇宙应具备身份、朋友、沉浸感、低延迟、多元化、随地、经济系统、文明等八大要素。元宇宙的表现形式大多以游戏为起点，并逐渐整合互联网、数字化娱乐、社交网络等功能，长期来看甚至可以整合社会经济与商业活动。\n\n\n\n3)元宇宙第一股Roblox上市\n\n2021年3月10日，Roblox采取直接挂牌模式（DPO）在纽约证券交易所上市。Roblox认为元宇宙用于描述虚拟宇宙中持久的、共享的、三维虚拟空间的概念。\n\n4）元宇宙总结了前期科技的发展方向\n\n东方证券分析师张颖指出，在迸发元宇宙概念前，5G基础设施、用于智能终端的显示屏、AI芯片等技术不断发展演进，同时工业互联网、产业互联网、数字孪生、VR游戏等概念均不断成熟。而在元宇宙概念诞生后，可以很好地总结这一时期大部分技术的发展方向。\n\n\n\n二、元宇宙的架构？\n东方证券认为，元宇宙的载体与内容这两个概念十分宽泛，主要分三部分：\n\n元宇宙的底层由基础设施与终端硬件设备组成：包括但不限于人机交互、3D引擎、GIS、设计工具、游戏渲染、画面渲染、隐私计算、AI、操作系统、工业互联网、内容分发、应用商店以及智能合约；\n在此基础上，元宇宙还需要大量的软件与技术协同：包括但不限于：基础设施端的5G、6G、云计算、区块链节点、边缘计算节点、DPU；用户端的路由器、传感器、芯片、VR头显、显示器、脑机接口；\n基于此，元宇宙可以衍生出相应的应用，并基于元宇宙各类应用发展出潜在的内容载体。\n\n\n三、元宇宙的发展模式？\n1）元宇宙的发展是循序渐进的过程，技术端、内容端、载体端都在不断演变\n\n技术端，区块链技术在不断演进，以以太坊为代表的社区在探索区块链应用如何丰富化，以Coinbase、Uniswap以及Opesea为代表的交易所也在为区块链经济提供更好的交易能力；\n内容端，元宇宙概念的游戏不断增加，生态不断加强，用户数也随之增长。以Roblox、Sandbox为代表的UGC元宇宙概念游戏得益于玩家的参与而不断丰富自己游戏的内容；\n载体端，通信技术、虚拟现实、芯片等底层技术也在不断演进。\n四、元宇宙的渗透路径？\n这个问题也可以理解成我们距离元宇宙的距离，东方证券张颖表示，元宇宙的内容短期将集中于游戏端与艺术端（NFT艺术藏品），长期来看，元宇宙的渗透路径预计将为“游戏/艺术-工作-生活”。\n\n1）游戏端：以Roblox为代表\n\nRoblox平台主要由三个产品构成：\n\n客户端：允许用户探索3D数字世界的应用程序。（面向用户）；\n工作室：允许开发人员和创作者构建、发布和操作Roblox客户端访问的3D体验和其他内容的工具群。（面向开发者）\nRoblox云：为共同体验平台提供动力的服务和基础设施。\nRoblox的主要营收来源为用户的游戏内支出。玩家需要充值换取游戏中的代币Robux获取Roblox的各种功能，这也是Roblox的营收来源。\n\n并且，Roblox的激励机制十分明确，除掉25%支付给APPStore的营收以及用于平台各种费用的营收（约26%），剩下约49%的营收基本由公司和开发者平分。\n\n\n\n其实，游戏UGC平台的概念可以追溯至魔兽争霸3：魔兽争霸3WE地图编辑器支持开发者创造出许多RTS（即时战略游戏）、MOBA（多人在线战术竞技）的游戏地图和游戏类型。但魔兽3对于开发者的奖励机制缺失，导致整体商用化程度不高。\n\n\n\n2）艺术端：NFT构建元宇宙经济基础\n\n非同质化代币（NFT）具有不可互换性、独特性、不可分性、低兼容性以及物品属性。并且产品流通渠道单一，市场透明度、价格发现能力均有较高提升空间。\n\n目前，多家互联网大厂正试水NFT领域：2021年6月，阿里巴巴发售支付宝付款码皮肤NFT，2021年8月，腾讯围绕NFT进行一系列战略布局。\n\n\n\n3）工作端：Facebook与英伟达的布局\n\nInfinite office是Facebook元宇宙战略中重要环节。2020年9月，Facebook宣布推出VR虚拟办公应用InfiniteOffice，支持用户们创建虚拟办公空间，提高工作效率。\n\n英伟达推出了NVIDIA Omniverse，一个专为虚拟协作和物理属性准确的实时模拟打造的开放式平台。并且已经开始投入使用，宝马公司正在内部推进NVIDIAOmniverse平台，以协调全球31座工厂的生产。而根据英伟达官网披露的信息，NVIDIA Omniverse将宝马的生产规划效率提高30%。\n\n4）生活端：面向体验场景\n\n东方证券认为，元宇宙的未来在于探索其应用场景的共性。这些应用场景均需考量用户的体验，元宇宙未来的商业模式与智能手机类似，即通过体验感增加用户的使用时间，进而提高用户粘性。这些时间（体验）成为元宇宙中各项服务的基础。\n\n\n\n五、元宇宙时代有哪些确定性趋势？\n元宇宙主要的载体（基础设施）主要包括如下几部分\n\n1）网络（通信）\n\n5G作为具有高速率、低时延和大连接特点的新一代宽带移动通信技术，是实现人机物互联的网络基础设施。\n\n2）芯片（算力）\n\n元宇宙的内容、网络、区块链、图形显示等功能均需要更为强大的算力。\n\n云端算力方面，DPU芯片（数据处理芯片）通过分流、加速和隔离各种高级网络、存储和安全服务，为云、数据中心或边缘等环境中的各种工作负载提供安全的加速基础设施。\n\n终端算力方面，异构芯片可以让SoC中的CPU、GPU、FPGA、DPU、ASIC等芯片协同工作，不断提升算力以提升用户体验。\n\n\n\n3）云与边缘计算\n\n云计算与边缘计算为用户提供所需的计算资源，降低用户触达元宇宙的门槛。\n\n4）AI\n\nAI在元宇宙中应用渗透较广泛。AI可以帮助创建元宇宙资产、艺术品和其他内容（AIGC），并可以改进我们用来构建所有这些内容的软件和流程。\n\n六、元宇宙在产业端如何发挥价值？\n全球范围内许多互联网企业、工业软件企业就工业元宇宙的相关技术已有长期的布局，其中包括数字孪生、工业互联网、仿真测试、数字化工厂、CAD、CAE、EDA等工业软件。\n\n1）英伟达：Omniverse平台\n\nOmniverse的架构包括Connect、Nucleus、Kit、Simulation、RTXrenderer等五个部分，他们与第三方数字内容创建工具（DCC）以及基于Omniverse的微服务构成了Omniverse的生态。\n\n\n\n黄仁勋在参加Computex2021线上会议表示未来虚拟世界与现实世界将产生交叉融合，元宇宙与NFT将在其中扮演重要角色。其中Omniverse平台主要面向建筑、工程和施工；制造业；媒体和娱乐以及超级计算场景。\n\n\n\n根据英伟达官网对于Omniverse平台的介绍，通过Omniverse平台，用户可以完成实时虚拟协作、模拟现实的设计、模拟环境以及搭建未来工厂等操作。\n\n2）微软：数字孪生探索\n2021年9月，微软CEO Satya Nadella在Inspire2021演讲中提出全新“企业元宇宙”概念。微软的元宇宙计划中期望元宇宙可以打破现在的通信和业务流程之间的障碍，把他们融合在一起，让工业场景更为便捷。在宣布“企业元宇宙”概念之前，微软就已通过Azure数字孪生及AI等技术建立了工业元宇宙的底座。\n\n\n\nAzure数字孪生是一个物联网(IoT)平台，可用于创建真实物品、地点、业务流程和人员的数字表示形式。通用电气航空的数字集团使用Azure数字孪生构建了一个实时和自动演变的模型，因此客户将随时可以访问其飞机的更新、准确和可用的数据模型。并且，通过内置数字可追溯性，可以实时记录每架飞机上每一个实物资产和部件。\n\n\n\n3）能科股份：布局仿真与测试\n\n能科股份主要业务包括智能制造、智能电气两个板块，其中公司智能制造业务基于数字孪生理念，整合业内先进工业软件和数字化IOT设备，虚拟世界内定义生产力中台并为客户开发个性化的工业微应用，物理世界内建立数字化、智能化的生产线和测试台，满足制造业企业产品全生命周期的数据与业务协同需求，帮助企业实现其自主创新、运营成本、生产效率、不良品率和客户满意度等业务目标。\n\n\n\n4）阿里云：数字工厂“新基建”\n\n根据德国工程师协会的定义，数字工厂（DF）是由数字化模型、方法和工具构成的综合网络，包含仿真和3D虚拟现实可视化，通过连续的没有中断的数据管理集成在一起。\n\n阿里云工业互联网平台助力制造企业数字化转型，打造工厂内、供应链、产业平台全面协同的新基建，将工厂的设备、产线、产品、供应链、客户紧密地连接协同起来，为企业提供可靠的基础平台和上层丰富的工业应用，结合全面的产业支撑，助力企业完成数字化转型。\n\n\n\n七、元宇宙是否需要区块链？\n首先来理解一下区块连的技术特性，区块链是一种按时间顺序将不断产生的信息区块以顺序相连方式组合而成的一种可追溯的链式数据结构，是一种以密码学方式保证数据不可篡改、不可伪造的分布式账本。区块链借助自身的特性可以用于数字资产、内容平台、游戏平台、共享经济与社交平台的应用。基于自身的技术特性，天然适配元宇宙的关键应用场景。\n\n东方证券认为，在元宇宙的整体架构中需要一套完善、缜密且成熟的技术系统支撑元宇宙的治理与激励。凭借区块链技术，元宇宙参与者可以根据在元宇宙的贡献度（时间、金钱、内容创造）等获得奖励。\n\n\n\n八、元宇宙是否需要去中心化？\n1）个人信息可携带权\n\n在个人信息可携带权的时代，用户成为关键参与者，由用户主动发起个人信息数据传输并自行上传，从而实践个人数据可携带权，去中心化成为必不可少的条件。\n\n2）去中心化不等于没有中心、没有监管\n\n在去中心化概念下，仍有较为高级的节点参与治理或运营，这与分布式架构完全舍弃中心的概念不同。在去中心化概念下，有效的监管和治理仍可存在。\n\n\n\n3）去中心化如何践行？参考DAO\n\n去中心化自治组织（DecentralizedAutonomousOrganization，DAO）是基于区块链核心思想理念，由达成同一个共识的群体自发产生的共创、共建、共治、共享的协同行为衍生出来的一种组织形态，是区块链解决信任问题后的附属产物。\n\nDAO将组织的管理和运营规则以智能合约的形式编码在区块链上，从而在没有集中控制或第三方干预的情况下自主运行。DAO具有充分开放、自主交互、去中心化控制、复杂多样以及涌现等特点，可成为应对不确定、多样、复杂环境的有效组织。\n\n4）去中心化如何交易？参考DEX\n\n去中心化交易所（DEX）在没有任何形式的中央权力的情况下以分散的方式运作。DEX不需要第三方来管理用户的资产，并允许用户随时保留对私人密钥的控制。由于DEX交易是点对点交易，它们提供了更高的透明度水平。\n\n全球主流区块链去中心化交易所包括基于以太坊网络的Uniswap、Sushiswap、IDEX、Bancor、Kyber，基于币安智能链的Pancakeswap，基于Heco链上的MDEX等。\n\n\n\n九、元宇宙是否需要NFT？\n1）什么是NFT？区块链的主流资产之一。\n\nNFT（Non-fungibleToken）代表不可替代的代币，是可以用来表示独特物品所有权的代币。NFT让艺术品、收藏品甚至房地产等事物标记化。他们一次只能拥有一个正式所有者，并且他们受到以太坊等区块链的保护，没有人可以修改所有权记录或复制/粘贴新的NFT。\n\nNFT具有不可互换性、独特性、不可分性、低兼容性以及物品属性，可应用于流动性挖矿、艺术品交易、游戏/VR以及链下资产NFT化等场景，大幅提升数据流转效率。\n\n\n\n2）NFT应用：一种潜在的元宇宙经济模式\n\nNFT由于自身的数字稀缺性被率先运用于收藏、艺术品以及游戏场景。\n\n东方证券认为，NFT在元宇宙中将扮演关键角色。首先，区块链是连接元宇宙概念的重要技术；其次，在元宇宙的整体架构中，在基础设施、数据和算法层之上、应用层之下，需要一套完善、缜密且成熟的技术系统支撑元宇宙的治理与激励；而NFT可以充当元宇宙激励环节的媒介\n\n\n\n十、元宇宙时代，互联网形态是否会发生变化？\n东方证券认为，基于元宇宙的发展，互联网的协议可能发生改变，互联网会针对于打造可信化的数字底座进行演进。而区块链技术也在攻克自身的缺陷：交易吞吐量低、与外界沟通困难等。\n\n注：本文内容主要摘录自东方证券研报《十问元宇宙：如何将抽象的概念具象化？》\n转载自：https://wallstreetcn.com/articles/3644791', '![b1387b57-519c-4c3f-9b6d-b5a6ce2c43a4-image.png](/assets/uploads/files/1637824312207-b1387b57-519c-4c3f-9b6d-b5a6ce2c43a4-image.png) \n![c1c0aff7-03cd-4f96-a8ca-35182e88793a-image.png](/assets/uploads/files/1637824335899-c1c0aff7-03cd-4f96-a8ca-35182e88793a-image.png) \n![7e562b3e-0609-4f90-a58e-163464c517b7-image.png](/assets/uploads/files/1637824354553-7e562b3e-0609-4f90-a58e-163464c517b7-image.png) \n![f508908d-3352-4a14-9da4-536f138ad0c6-image.png](/assets/uploads/files/1637824374607-f508908d-3352-4a14-9da4-536f138ad0c6-image.png) \n![5a389348-2b0f-4a76-ae75-8ffff8c482f1-image.png](/assets/uploads/files/1637824388612-5a389348-2b0f-4a76-ae75-8ffff8c482f1-image.png)', '🐓🦐㊗️🐷🐂🍻']",,,,,,,,,,,
3,Dominic,,1,2,['点击首页的主页或者“不吐不快”的logo时，返回的网页是推荐给我的产品+空白页'],,,,,,,,,,,
4,Jerry,,3,5,"['Thanks for your hard work. Looking forward to your development.', 'I am very confused about the quality of my sleep.:confounded: \nSometimes I feel that external noise is causing my poor sleep quality, but on the other hand, my poor mentality can easily affect the quality. Has anyone encountered a similar problem?:face_with_thermometer: \nWe can discuss it.:blush:', '哇哇哇哇哇哇哇哇哇哇哇哇哇哇哇哇哇哇哇']",,,,,,,,,,,
5,Admin,,15,22,"['**不吐不快  最新开发日志**\n***\n ====**V0.0.5**=====2021.12.5\n\n* 增加脏话屏蔽功能\n\n* 增加发布视频功能\n\n* 添加SendGrid第三方邮件服务\n\n* 优化页面排布\n\n* 新增多个版块\n***\n ====**V0.0.4**=====2021.11.26\n\n* 更改版块结构\n\n* 加入“下载中心”，提供下载渠道\n\n* 更新声望机制，现在每天连续登录可获得1点声望，发布/回复可获得2点声望\n\n* 为网站添加了安全证书\n\n* 用户可将帖子设置为“问题”\n\n* 添加了投票功能\n***\n====**V0.0.3**=====2021.11.14\n\n\n* 设置站点logo\n\n\n* 设置网页图标\n\n\n* 添加夜间主题\n\n\n* 添加GDPR用户安全协议\n\n\n* 设置游客可自定义名字、可回复\n\n\n* 添加“文章专区”板块\n\n***\n====**V0.0.2**=====2021.11.1\n\n\n* 添加Solr搜索引擎\n\n\n* 设置浏览器页面标题\n\n***\n====**V0.0.1**=====2021.10.29\n\n\n* 成功搭建社区网站\n\n\n* 升级并部署NodeBB框架至v1.18.5\n\n\n* 设置论坛主语言为中文', 'DaryLS 说：\n> 本论坛所要实现的匿名是指：\n> \n> * 用户在设置中可以自行选择是否要对外公开其真实姓名、电子邮箱、年龄、性别等个人隐私信息；\n> * 用户可随时更换自己的id；\n> * 用户在本论坛进行注册后，其填写的电子邮箱、登录密码将通过SHA256哈希加密的方式储存进入数据库（包括其后续填写的个人信息）\n\n经过几个星期的研究还有学习，想谈一谈我的理解。\n\n交大的“无可奉告”匿名社区的目标用户是交大学生，所以他们就限制了这个社区只能由交大学生加入，方法就是用户注册只能通过交大学生邮箱进行注册，每次登录系统都会通过发送验证码到学生邮箱中，作为用户的临时密码。而用户注册的邮箱是需要进行二次哈希加密的，因为学生邮箱容易暴露用户个人信息（一般是学号+@xxx.xx.xx）。在使用过程中，用户可以选择用原用户昵称进行回复、发帖、讨论，也可以匿名进行，即自己选择一个新的昵称，别人也不清楚该用户的真实身份是什么。由此可见，交大“无可奉告”从用户选择、数据管理、用户体验三个方面出发，环环相扣，实现了他们独有的匿名社区。\n\n交大“无可奉告”的做法有几点优点，值得我们学习。\n1. 用户选择上，由于学生邮箱是独一无二的，使用学生邮箱杜绝了一人多角、僵尸号等现象（重点！）；\n2. 把匿名的选择留给用户，在使用过程中，用户可以自行选择是否匿名。\n3. 匿名的程度达到即使是超级用户（管理员），也无法查询出匿名用户的真实身份。\n\n有几点问题也需要指出。\n1. 用户每次登录都需要邮箱验证码，不太方便；\n2. 不法分子对用户的针对性更强。比方说，我想黑进某某人的账户中，看看ta在论坛中都说过什么，第一步获取ta的学号，第二步想办法从学生邮箱中获取邮箱验证码。这时候信息安全的压力是给到了学校邮箱这边，论坛也无能为力。倘若被盗取的是高权限的用户，论坛势必会陷入巨大的安全隐患当中。', '@daryls \n综上，我想从用户注册到登录的过程捋一捋，对本论坛的匿名机制作出一些调整。\n1. 用户注册。用户可以使用任何邮箱进行注册，论坛系统将根据用户提供的邮箱发送注册确认或验证码（目前打算使用SendGrid服务）；\n2. 用户登录。用户可以通过用户名+密码或邮箱+密码的方式登录，正在考虑是否加入二次验证，以保护用户隐私安全；\n3. 匿名回复。本论坛设定游客用户可以自行选择名称进行回复，因此论坛用户可以通过退出登录进入匿名状态。', '你好呀，同学~ :flushed: \n\n欢迎加入“不吐不快”的大家庭！这里是一个提供给大家畅所欲言的匿名论坛网站，你可以在这里分享生活中的喜怒哀乐，也可以在这里大谈未来理想，当然也能吐槽生活中的大小琐事，在这里总有人会听你细细道来:frog: 。\n\n本论坛创建伊始，匿名功能还未完全实现，所以在现在阶段注册加入的同学的个人信息还是会被网站服务器记录进数据库，不过我们承诺大家的用户信息均会被我们妥善保存直至匿名功能上线。我们也会加快脚步，实现完全匿名，届时除非你想让别人知道，任何人（包括管理员:jack_o_lantern: ）都无法获取你的个人信息（姓名、邮箱等）。\n\n“不吐不快”（Spit it Out）匿名论坛网站是深圳大学微众银行金融科技学院大四学生的金融科技实践项目，我们是一个:six: 人团队（:one: 导师+:five: 学生），我们的目标是为大家创造并维护这样一个社区环境，并在这一基础上进行一系列的项目实践。这些实践将会在论坛完全匿名化后上线，请大家放心。同时，大家有什么建议也可以留言告诉我们:smile_cat: ，我们也会第一时间根据大家的需求调整网站的开发。\n\n接下来请大家开始尽情探索:smiling_imp: ，spit it out! 说你想说的，“不吐不快”！\n\nRespect:the_horns:', '**Rule1**： 以人为本。  Spititout是一个创造归属感的地方，而不是攻击边缘化或弱势群体的人。每个人都有权在不受骚扰、欺凌和暴力威胁的情况下使用  Spititout。煽动暴力或基于身份或脆弱性宣扬仇恨的社区和用户将被禁止。\n\n**Rule 2**： 遵守群组规则。发布真实内容，不得欺骗或参与内容操纵（包括垃圾邮件、投票操纵、禁令逃避或订阅者欺诈）或以其他方式干扰或破坏  Spititout 群组。\n\n**Rule 3**： 尊重他人的隐私。未经他人同意，不允许在论坛里泄露其现实生活中的个人信息，也切勿发布或威胁发布与某人的亲密或色情内容。\n\n**Rule 4** ：您不必使用真实姓名来使用 Spititout，但不要以误导或欺骗的方式冒充个人或实体。\n\n**Rule 5** ：通过对内容的正确标记(eg. NSFW)，特别是冒犯性的内容，确保其他用户在 Spititout 上拥有可预测的体验。  \n\n**Rule 6**： 保持合法，避免发布非法内容或招揽或促进非法或被禁止的交易。  \n\n**Rule 7**： 不要破坏网站或做任何干扰 Spititout 正常使用的事情。 \n\n我们有多种方式来执行我们的规则，包括但不限于：\n* 友善地/不客气地要求你停止相关言论、退出论坛 ；\n* 暂时或永久封停帐户；\n* 对你的权限添加限制 ；\n* 对你所在的群组添加限制，例如添加标签或 删除内容 ；\n* 封禁群组；\n\n最后，希望每位用户都能在“不吐不快”社区中获得更好的体验~', '回复 @daryls \n感谢 @leshu 的技术支持，问题已解决:blush:', '本论坛所要实现的匿名是指：\n\n* 用户在设置中可以自行选择是否要对外公开其真实姓名、电子邮箱、年龄、性别等个人隐私信息；\n* 用户可随时更换自己的id；\n* 用户在本论坛进行注册后，其填写的电子邮箱、登录密码将通过SHA256哈希加密的方式储存进入数据库（包括其后续填写的个人信息）', '移动端看确实糊，设计的时候是按着网页的大小放的，在移动端上图片会被压缩，会尽快解决的', '@metabeing 嗯嗯，现在网站用的是已有的emoji的包，所以要发自己的表情的话可能得要自己上传图片了，像这样![R-C.jpg](/assets/uploads/files/1638672746683-r-c.jpg) \n这是我在网上找的一张图片，然后调整图片大小上传就是这种效果，目前网页开发也没有很长时间，所以会有不少问题，会持续改进的~', '@afirmiana 骚年 你的想法很危险![20190924122747_95079.jpg](/assets/uploads/files/1638678493074-20190924122747_95079.jpg) \n怕你不知道和你说一声，管理员也有女生哦:flushed:', 'logo问题我晚上重启部署一下论坛再看看能不能解决', '@盐焗土豆_ 上传图片的教程可以看过来\n\n* 方法一：直接复制粘贴，使用**shift+:fa-windows:+S**进行快速截图，ctrl+V直接粘贴即可\n![59bc8b04-edb2-43b6-ac23-60e3ad49dc83-image.png](/assets/uploads/files/1638708828089-59bc8b04-edb2-43b6-ac23-60e3ad49dc83-image.png) \n***\n* 方法二：点击选项栏里的:fa-picture-o:按钮，直接上传图片\n![04b4ffcd-495a-46c7-892b-437ec01811e4-image.png](/assets/uploads/files/1638708986950-04b4ffcd-495a-46c7-892b-437ec01811e4-image.png) \n![4297aadf-c951-486c-bd1c-561ce47e6e5c-image.png](/assets/uploads/files/1638709094772-4297aadf-c951-486c-bd1c-561ce47e6e5c-image.png) \n***\n* 方法三：使用方法二上传的图片有大小限制，默认应该是4Mb以下，所以可以使用上传文件按钮:fa-files-o:，即可以上传20Mb以上的大图片（大家尽量不要上传太大的文件，服务器可能吃不消:astonished:）\n![691e929d-fc3e-482a-aa9d-02659069f56b-image.png](/assets/uploads/files/1638709211088-691e929d-fc3e-482a-aa9d-02659069f56b-image.png) \n***\n* 方法四：也可以直接将图片拖动到编辑区\n![220f9603-190a-44d6-bc17-b422c83fe8ce-image.png](/assets/uploads/files/1638709366690-220f9603-190a-44d6-bc17-b422c83fe8ce-image.png) \n![R-C.jpg](/assets/uploads/files/1638709372581-r-c.jpg) \n\n* ps：本网站也可以上传视频和其他的音频文件，具体方法可参考上面的流程', '@metabeing 可以看一下，现在移动端的网站logo应该是很清晰的了', '用户在注册后，密码会自动加密存储在数据库中，每一次登录都会验证数据库中该用户是否存在，以及登录密码是否匹配', '但是邮件系统一直让我很头疼。。']",,,,,,,,,,,
6,七七,,,,[],,,,,,,,,,,
7,leshu,,5,10,"['# 牛逼啊兄弟\n\n还有markdown！秀！', '@daryls 老照片有感觉、有回忆哈哈哈哈哈哈', 'emoji好玩\n\n论坛大🔥 ！', 'test', '@leshu testEmoji\n🐓🦐㊗️🐷🐂🍻']",,,,,,,,,,,
8,iii,,1,2,['永远喜欢那个朋友，永远珍惜~'],,,,,,,,,,,
9,N_N,,,,[],,,,,,,,,,,
