_key,username,location,postcount,likes,post,gender,identity,marriage,region,risk_appetite,education,revenue,deposit,debt,intended_products,label
0,,,,,"['游客', '测试', '回复', '睡', '瓶', '牛奶', '睡觉', '时候', '就', '想', '太', '多越', '想着', '可能', '越', '睡不着', '尝试', '放松', '身体', '慢慢', '进入状态', '也许', '会', '有所', '帮助', '遇到', '事情', '事', '都', '是', '暂时', '勇敢', '面对', '有', '属于', '结果', '看不懂', '中文', '有点', '意思', '叫', '正常人']",,,,,,,,,,,
1,DaryLS,克拉格的住所,5,15,"['有', '无人', '知道', '编译', '会', '出现', '效果', '挺', '影响', '观感', '都', '是', '老照片', '估计', '无', '游客', '回复', '测试']",,,,,,,,,,,
2,CCnono,,4,11,"['做', '事情', '要', '出发', '不断', '地问', '解决', '问题', '具体', '是', '才', '最', '重要', '路径', '执行', '都', '人们', '宇宙', '构想', '抽象', '将', '元', '具象化', '帮助', '更好', '理解', '概念', '提出', '很', '长', '仅', '存在', '文学', '影视作品', '词根', '组成', '表示', '超越', '词', '最早', '来自', '雪崩', '小说', '描绘', '虚拟现实', '世界', '控制', '数字化', '提升', '社会', '地位', '接近', '头号', '玩家', '模拟', '人生', '游戏', '有所', '呈现', '阶段', '比较', '模糊', '更', '地被', '平行', '虚拟世界', '要素', '定义', '应', '具备', '身份', '朋友', '沉浸', '感低', '延迟', '多元化', '随地', '经济', '系统', '表现形式', '起点', '逐渐', '整合', '互联网', '娱乐', '社交', '网络', '功能', '长期', '甚至', '商业活动', '采取', '挂牌', '模式', '认为', '用于', '描述', '虚拟', '持久', '共享', '虚拟空间', '总结', '科技', '发展', '方向', '证券', '分析师', '指出', '迸发', '基础设施', '智能', '终端', '显示屏', '芯片', '技术', '演进', '工业', '产业', '数字', '均', '成熟', '诞生', '很好', '一时期', '架构', '载体', '内容', '宽泛', '部分', '底层', '硬件', '设备', '包括', '不', '限于', '人机交互', '引擎', '设计', '工具', '渲染', '画面', '计算', '互联网内容', '分发', '应用', '商店', '合约', '还', '需要', '大量', '软件', '协同', '区块', '链', '节点', '边缘', '用户', '路由器', '传感器', '头显', '显示器', '脑机', '接口', '衍生', '出', '相应', '过程', '端', '演变', '以太', '代表', '社区', '探索', '也', '提供', '交易', '能力', '增加', '生态', '用户数', '增长', '得益于', '参与', '渗透', '成', '距离', '集中', '艺术', '藏品', '预计', '工作', '生活', '平台', '产品', '构成', '客户端', '允许', '应用程序', '面向用户', '工作室', '开发人员', '创作者', '构建', '发布', '操作', '访问', '体验', '群', '面向', '开发者', '云', '共同', '动力', '服务', '营收', '来源', '内', '支出', '充值', '换取', '代币', '获取', '激励机制', '除掉', '支付', '费用', '营收约', '剩下', '约', '基本', '公司', '平分', '其实', '追溯', '地图', '编辑器', '支持', '创造', '即时战略', '人', '战术', '竞技', '类型', '魔兽', '奖励', '机制', '缺失', '导致', '整体', '商用化', '程度', '高', '经济基础', '同质化', '具有', '不可', '互换性', '可分性', '低', '物品', '属性', '流通渠道', '市场', '透明度', '价格', '发现', '有', '较', '空间', '大厂', '正', '试水', '领域', '发售', '付款', '码', '皮肤', '腾讯', '围绕', '进行', '战略', '布局', '伟达', '宣布', '推出', '办公', '创建', '提高', '工作效率', '专', '协作', '物理', '准确', '实时', '打造', '开放式', '已经', '开始', '投入使用', '推进', '协调', '全球', '工厂', '生产', '官网', '披露', '信息', '效率', '场景', '在于', '共性', '需', '考量', '商业模式', '智能手机', '类似', '即', '感', '使用', '时间', '粘性', '成为', '基础', '时代', '确定性', '趋势', '作为', '高速率', '时延', '大', '连接', '特点', '宽带', '移动', '实现', '人机', '互联', '算力', '图形', '显示', '更为', '强大', '云端', '方面', '数据处理', '分流', '加速', '隔离', '数据中心', '环境', '负载', '异构', '让', '协同工作', '所需', '计算资源', '降低', '触达元', '门槛', '广泛', '资产', '艺术品', '改进', '用来', '流程', '发挥', '价值', '范围', '企业', '就', '相关', '已有', '仿真', '测试', '微', '参加', '线', '会议', '现实', '产生', '交叉', '融合', '扮演', '角色', '建筑工程', '施工', '制造业', '媒体', '介绍', '完成', '搭建', '微软', '演讲', '全新', '计划', '期望', '打破', '业务流程', '障碍', '便捷', '已', '建立', '底座', '联网', '可', '真实', '地点', '人员', '形式', '通用电气', '航空', '集团', '自动', '模型', '客户', '随时', '飞机', '更新', '可用', '数据模型', '内置', '性', '记录', '架飞机', '实物', '部件', '能科', '股份', '业务', '制造', '电气', '板块', '理念', '先进', '生产力', '开发', '个性化', '生产线', '测试台', '满足', '全', '生命周期', '数据', '需求', '自主', '创新', '运营', '成本', '良品率', '目标', '新', '基建', '工程师', '协会', '方法', '综合', '包含', '可视化', '连续', '没有', '数据管理', '集成', '助力', '转型', '供应链', '全面', '产线', '紧密', '起来', '可靠', '丰富', '结合', '支撑', '是否', '首先', '来', '连的', '特性', '顺序', '相连', '方式', '链式', '数据结构', '密码学', '保证数据', '篡改', '伪造', '分布式', '账本', '借助', '适配', '关键', '完善', '缜密', '治理', '激励', '参与者', '金钱', '获得', '去', '个人信息', '携带', '权', '发起', '上传', '实践', '个人', '条件', '等于', '中心', '监管', '仍', '较为', '舍弃', '不同', '有效', '践行', '参考', '自治', '组织', '核心思想', '达成', '共识', '群体', '自发', '共创', '共建', '共治', '行为', '出来', '形态', '信任', '产物', '管理', '规则', '编码', '集中控制', '干预', '情况', '运行', '开放', '交互', '复杂', '涌现', '应对', '确定', '中央', '权力', '下以', '分散', '运作', '保留', '私人', '密钥', '点对点', '水平', '币安', '替代', '独特', '所有权', '收藏品', '事物', '标记', '化', '只能', '拥有', '受到', '保护', '修改', '复制粘贴', '流动性', '挖矿', '大幅', '流转', '稀缺性', '率先', '运用', '收藏', '中将', '算法', '应用层', '充当', '环节', '媒介', '会', '协议', '可能', '发生', '改变', '可信', '攻克', '缺陷', '吞吐量', '外界', '沟通', '等注', '摘录自', '研报', '问元', '转载自']",,,,,,,,,,,
3,Dominic,,1,2,"['点击', '主页', '不', '吐', '不快', '时', '返回', '网页', '是', '推荐', '产品', '空白页']",,,,,,,,,,,
4,Jerry,,3,5,[],,,,,,,,,,,
5,Admin,,15,22,"['不', '吐', '不快', '最新', '开发', '增加', '脏话', '屏蔽', '功能', '发布', '视频', '添加', '邮件', '服务', '优化', '页面', '排布', '新增', '版块', '更改', '结构', '加入', '下载', '中心', '提供', '渠道', '更新', '声望', '机制', '连续', '登录', '可', '获得', '回复', '网站', '证书', '用户', '将', '帖子', '设置', '问题', '投票', '站点', '网页', '图标', '主题', '协议', '游客', '名字', '文章', '专区', '板块', '搜索引擎', '浏览器', '标题', '成功', '搭建', '社区', '升级', '部署', '框架', '论坛', '语言', '中文', '说', '本论坛', '要', '实现', '匿名', '是', '指', '选择', '是否', '真实', '姓名', '电子邮箱', '年龄', '性别', '信息', '随时', '更换', '进行', '注册', '填写', '密码', '方式', '储存', '进入', '数据库', '包括', '后续', '个人信息', '研究', '还有', '学习', '想', '理解', '目标', '交', '大学生', '就', '限制', '只能', '方法', '就是', '用户注册', '邮箱', '系统', '都', '会', '发送', '验证码', '到', '学生', '作为', '需要', '容易', '暴露', '一般', '学号', '使用', '过程', '原', '昵称', '发帖', '讨论', '也', '即', '新', '清楚', '身份', '数据管理', '体验', '方面', '出发', '独有', '做法', '有', '优点', '值得', '人', '僵尸', '现象', '重点', '留给', '程度', '达到', '管理员', '无法', '查询', '出', '指出', '太', '方便', '针对性', '更', '强', '黑', '进', '某某人', '账户', '看看', '获取', '办法', '信息安全', '压力', '给到', '学校', '盗取', '高', '权限', '势必会', '陷入', '巨大', '综上', '捋', '作出', '调整', '确认', '打算', '用户名', '考虑', '验证', '保护', '设定', '名称', '退出', '状态', '同学', '欢迎', '大家', '分享', '生活', '大', '谈', '理想', '当然', '能', '琐事', '听', '细细', '来', '创建', '伊始', '还', '未', '阶段', '服务器', '记录', '承诺', '均', '妥善', '保存', '直至', '上线', '届时', '让', '知道', '微众', '银行', '金融', '科技', '学院', '实践', '项目', '团队', '导师', '创造', '维护', '环境', '基础', '化后', '请', '放心', '建议', '留言', '告诉', '时间', '需求', '开始', '尽情', '探索', '不吐', '归属感', '地方', '攻击', '边缘化', '有权', '不受', '骚扰', '欺凌', '暴力', '威胁', '情况', '煽动', '脆弱性', '宣扬', '仇恨', '禁止', '遵守', '群组', '规则', '内容', '不得', '欺骗', '参与', '操纵', '垃圾邮件', '禁令', '逃避', '订阅', '欺诈', '干扰', '破坏', '尊重', '未经', '同意', '允许', '泄露', '现实生活', '切勿', '亲密', '色情', '不必', '误导', '冒充', '个人', '实体', '标记', '特别', '冒犯', '性', '确保', '拥有', '预测', '保持', '合法', '避免', '招揽', '促进', '交易', '做', '正常', '事情', '执行', '限于', '友善', '客气', '要求', '停止', '相关', '言论', '暂时', '永久', '封停', '帐户', '例如', '标签', '删除', '封禁', '希望', '更好', '感谢', '技术支持', '已', '解决', '移动', '端', '看', '糊', '设计', '时候', '图片', '压缩', '尽快', '已有', '包', '发', '表情', '可能', '上传', '了像', '找', '图片大小', '效果', '没有', '不少', '持续', '改进', '骚', '想法', '怕', '女生', '重启', '再', '不能', '盐', '土豆', '教程', '复制粘贴', '快速', '截图', '粘贴', '即可', '点击', '选项', '栏', '按钮', '默认', '应该', '文件', '传', '尽量', '拖动', '编辑', '区本', '音频文件', '参考', '流程', '很', '清晰', '自动', '存在', '匹配', '邮件系统', '一直', '头疼']",,,,,,,,,,,
6,七七,,,,[],,,,,,,,,,,
7,leshu,,5,10,"['牛', '逼', '兄弟', '还有', '老照片', '有', '感觉', '回忆', '好玩', '论坛', '大']",,,,,,,,,,,
8,iii,,1,2,"['永远', '喜欢', '朋友', '珍惜']",,,,,,,,,,,
9,N_N,,,,[],,,,,,,,,,,
